رقم  السجل,حالة السجل,انشاء السجل,انتهاء السجل,رقم الرخصة,حالة الرخصة,انشاء الرخصة,انتهاء الرخصة,اسم المنشاة,التصنيف الرئيسي,التصنيف الفرعي,ص.ب,هاتف,البلدية,المنطقة,رقم الشارع,وصف الشارع,رقم المبنى,الحي,اسم الحي,كود النشاط,اسم النشاط
36618,نشط,05-AUG-07,30-JAN-22,67252,نشط,,10-SEP-21,مؤسسه توناكو لتأجير السيارات,تجاري,مكتب تجاري,,,بلدية ام صلال,71,600,طريق ام صلال الشمالي,59,128,ام صلال محمد,4922901,تاجير السيارات بدون سائق
132579,منتهية,04-APR-19,03-APR-21,171443,نشط,22-APR-19,13-OCT-21,سكاي ستار ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,5,119,حمد الكبير,58,6,براحة الجفيري,4921211,خدمة الليموزين
90499,نشط,07-DEC-16,06-DEC-21,128134,معلق,23-DEC-16,17-DEC-21,كوكلي لليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,989,السلام,4,65,الريان الجديد,4921211,خدمة الليموزين
91338,نشط,01-JAN-17,31-DEC-21,129485,نشط,23-JAN-17,17-JAN-22,اوتوويا ليموزين والنقليات,تجاري,مكتب تجاري,,+97455100270,بلدية الدوحة,17,840,الميناء,54,14,الرفاع,4921211,خدمة الليموزين
89995,نشط,24-NOV-16,23-NOV-21,137220,معلق,06-JUN-17,27-NOV-21,ذا بيرل لتأجير السيارات والخدمات,تجاري,مكتب تجاري,,,بلدية الدوحة,26,940,الخالدية,155,23,نجمة,4922901,تاجير السيارات بدون سائق
133136,منتهية,18-APR-19,14-OCT-20,181910,منتهية,31-MAY-20,26-MAY-21,بي كي اس ليموزين,تجاري,مكتب تجاري,30699,+97466005715,بلدية الدوحة,27,950,950,100,489,ام غويلينة,4921211,خدمة الليموزين
65001,نشط,31-MAR-14,26-SEP-21,101350,معلق,,12-FEB-22,وسيلة ليموزين,تجاري,مكتب تجاري,91482,70706725,بلدية الدوحة,57,12,12,71,100,المنطقة الصناعية,4921211,خدمة الليموزين
129874,نشط,06-FEB-19,05-FEB-22,174246,نشط,15-JUL-19,05-JAN-22,بوترفلاي ليموزين,تجاري,مكتب تجاري,,+97466090190,بلدية الدوحة,17,850,الدستور,18,14,الرفاع,4921211,خدمة الليموزين
128647,نشط,13-JAN-19,12-JAN-22,168763,نشط,25-FEB-19,19-FEB-22,سكوير ليموزين,تجاري,مكتب تجاري,,,بلدية الريان,56,340,طريق سلوي,299,804,المعمورة 56,4921211,خدمة الليموزين
112315,نشط,06-FEB-18,06-FEB-22,148387,نشط,26-FEB-18,21-FEB-22,الارمان ليموزين,تجاري,مكتب تجاري,,+974,بلدية الخور و الذخيرة,74,211,طريق الذخيرة,11,269,الخور,4921211,خدمة الليموزين
90033,منتهية,27-NOV-16,27-NOV-19,130812,معلق,19-FEB-17,14-FEB-20,عين لندن لليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,57,105,105,86,100,المنطقة الصناعية,4921211,خدمة الليموزين
91752,منتهية,10-JAN-17,10-JAN-20,129653,معلق,25-JAN-17,20-JAN-20,فاست بيك ليموزين,تجاري,مكتب تجاري,dhakaexpress.qa@gmai,+97455721609,بلدية الريان,56,340,340,299,95,عين خالد,4921211,خدمة الليموزين
90082,نشط,28-NOV-16,27-NOV-21,127918,معلق,19-DEC-16,13-DEC-21,ليموزين اورانج,تجاري,مكتب تجاري,,+97455577761,بلدية الدوحة,23,231,سحيم بن حمد,48,1000,لا يوجد,4921211,خدمة الليموزين
134473,نشط,23-MAY-19,18-NOV-21,185898,نشط,24-SEP-20,19-SEP-21,سن لايت ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,950,ابن سينا,134,20,روضة الخيل,4921211,خدمة الليموزين
130102,نشط,11-FEB-19,10-FEB-22,169388,معلق,10-MAR-19,04-MAR-22,لاكجري ليموزين,تجاري,مكتب تجاري,,+97455262766,بلدية الدوحة,6,810,الاسحاط,26,8,الغانم العتيق,4921211,خدمة الليموزين
69661,نشط,09-DEC-14,07-DEC-21,104203,نشط,,22-DEC-21,العالمية لخدمات الليموزين,تجاري,مكتب تجاري,45903,+97466913800,بلدية الريان,56,340,طريق سلوى,455,95,عين خالد,4921211,خدمة الليموزين
118182,نشط,29-MAY-18,24-NOV-21,154618,معلق,09-JUL-18,30-DEC-21,ليموزين الخليج العربي,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,950,ابن سينا,78,20,روضة الخيل,4921211,خدمة الليموزين
133409,نشط,25-APR-19,21-OCT-21,172602,نشط,16-MAY-19,06-NOV-21,العطلة ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,25,870,النجمة,1,21,المنصورة,4921211,خدمة الليموزين
93795,منتهية,19-FEB-17,18-FEB-21,132307,معلق,15-MAR-17,05-SEP-21,ستارز لتأجير السيارات,تجاري,مكتب تجاري,111,+97450368066,بلدية الريان,53,615,التوبة,65,65,الريان الجديد,4922901,تاجير السيارات بدون سائق
134472,نشط,23-MAY-19,18-NOV-21,174489,معلق,22-JUL-19,12-JAN-22,ليموزين العائله,تجاري,مكتب تجاري,,+974,بلدية الريان,56,340,طريق سلوى,299,97,المعمورة,4921211,خدمة الليموزين
90686,نشط,13-DEC-16,12-DEC-21,129272,نشط,18-JAN-17,12-JAN-22,كمفورت ليموزين,تجاري,مكتب تجاري,17329,+97455003488,بلدية الريان,55,185,ام الخرج,1,84,العزيزية,4921211,خدمة الليموزين
62229,نشط,22-SEP-13,20-SEP-21,94769,معلق,,26-SEP-21,سلفر تراك ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,26,894,894,19,23,نجمة,4922901,تاجير السيارات بدون سائق
104618,منتهية,10-OCT-17,09-OCT-20,142761,معلق,09-NOV-17,03-NOV-20,ليموزين نصل,تجاري,مكتب تجاري,,,بلدية الدوحة,39,343,السد,41,39,المرقاب الجديد,4921211,خدمة الليموزين
90626,نشط,11-DEC-16,10-DEC-21,128821,نشط,09-JAN-17,03-JAN-22,اوبليسك ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,950,ابن سينا,139,20,روضة الخيل,4921211,خدمة الليموزين
90494,نشط,07-DEC-16,06-DEC-21,128033,نشط,21-DEC-16,15-DEC-21,صفا ليموزين,تجاري,مكتب تجاري,,+97455236152,بلدية الدوحة,24,880,ابن سينا,26,20,روضة الخيل,4921211,خدمة الليموزين
15931/7,نشط,30-OCT-05,14-OCT-21,14812,معلق,,25-NOV-21,فاب الدولية للتجارة والخدمات وتأجير السيارات,تجاري,مكتب تجاري,,+97455553649,بلدية الدوحة,43,340,طريق سلوى,189,97,المعمورة,4922901,تاجير السيارات بدون سائق
108742,نشط,24-DEC-17,23-DEC-21,145562,نشط,03-JAN-18,28-DEC-21,الزاجل ليموزين,تجاري,مكتب تجاري,,,بلدية ام صلال,71,600,طريق ام صلال الشمالى,15,128,ام صلال محمد,4921211,خدمة الليموزين
109928,نشط,03-JAN-18,02-JAN-22,55861,نشط,,10-OCT-21,فاس لتأجير السيارات,تجاري,مكتب تجاري,5941,+97466181536,بلدية الريان,56,560,عين خاد,138,95,عين خالد,4922901,تاجير السيارات بدون سائق
124615,نشط,24-OCT-18,23-OCT-21,161747,معلق,08-NOV-18,02-NOV-21,البلجة ليموزين,تجاري,مكتب تجاري,,+97466079021,بلدية الدوحة,27,950,سعيد بن العاص,9,489,ام غويلينة,4921211,خدمة الليموزين
43639/1,نشط,12-MAR-14,12-OCT-21,98032,معلق,,11-MAR-22,باكت لخدمات الليموزين,تجاري,مكتب تجاري,60564,+97455184766,بلدية الخور و الذخيرة,74,880,ناصر بن عبدالله المسند,3,269,الخور,4921211,خدمة الليموزين
48967/3,نشط,12-FEB-14,01-FEB-22,98640,معلق,,06-APR-22,ريلايبل ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,26,940,الخالدية,19,23,نجمة,4921211,خدمة الليموزين
113399,نشط,25-FEB-18,24-FEB-22,165231,نشط,27-DEC-18,21-DEC-21,ليموزين الزاجل,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,950,ابن سينا,129,20,روضة الخيل,4921211,خدمة الليموزين
102292,نشط,10-AUG-17,05-FEB-22,147583,نشط,07-FEB-18,01-FEB-22,زهير لتأجير السيارات,تجاري,مكتب تجاري,,+97455492105,بلدية الدوحة,24,830,حطين,16,20,روضة الخيل,4922901,تاجير السيارات بدون سائق
95585,نشط,19-MAR-17,18-MAR-22,169873,نشط,19-MAR-19,13-MAR-22,الشموخ ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,25,910,ابو واقد,51,21,المنصورة,4921211,خدمة الليموزين
123449,نشط,03-OCT-18,02-OCT-21,161406,نشط,04-NOV-18,29-OCT-21,مون واي ليموزين,تجاري,محل تجارى,,+974,بلدية الدوحة,4,950,عبدالعزيز احمد,25,4,مشيرب,4921211,خدمة الليموزين
46385/1,نشط,17-APR-14,23-DEC-21,99257,معلق,,29-OCT-21,ايفرست لخدمات الليموزين والمقاولات,تجاري,مكتب تجاري,,+974,بلدية الوكرة,91,294,شارع الوكرة العام,30,767,ام بشر,4921211,خدمة الليموزين
131029,نشط,03-MAR-19,25-FEB-22,180555,معلق,12-FEB-20,06-FEB-22,ناينتي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,790,ام الدوم,211,65,الريان الجديد,4921211,خدمة الليموزين
117808,نشط,20-MAY-18,15-NOV-21,160439,نشط,22-OCT-18,16-OCT-21,كيت فليت لتأجير السيارات,تجاري,مكتب تجاري,22200,55567000,بلدية الدوحة,38,343,السد,14,38,السد,4922901,تاجير السيارات بدون سائق
93831,نشط,20-FEB-17,19-FEB-22,132183,معلق,14-MAR-17,08-MAR-22,ريليبيليتي ليموزين,تجاري,مكتب تجاري,32011,+97455232844,بلدية الدوحة,38,343,السد,58,38,السد,4921211,خدمة الليموزين
108811,مشطوب,25-DEC-17,24-DEC-20,146361,معلق,17-JAN-18,12-JAN-20,مسافر ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,69,عثمان بن عفان,9,84,العزيزية,4921211,خدمة الليموزين
57359,منتهية,23-SEP-12,23-SEP-17,88360,معلق,,01-OCT-17,كولوريدو لتاجير السيارات وخدمات ليموزين,تجاري,مكتب تجاري,,,بلدية الوكرة,90,720,720,36,635,الوكرة,4921211,خدمة الليموزين
118999,منتهية,27-JUN-18,23-DEC-20,157170,معلق,03-SEP-18,24-FEB-21,الوكير لليموزين,تجاري,مكتب تجاري,,55563820,بلدية الدوحة,24,873,873,29,20,روضة الخيل,4921211,خدمة الليموزين
41809,نشط,08-MAR-09,02-SEP-21,67930,معلق,,30-OCT-21,بير بابا التجارية,تجاري,مكتب تجاري,80587,4504085,بلدية ام صلال,71,750,ام صلال محمد,51,128,ام صلال محمد,4921211,خدمة الليموزين
50965,نشط,31-MAY-11,25-NOV-21,80329,نشط,,10-DEC-21,شركة قطر ماستر الكتروميكانيك,تجاري,مكتب تجاري,32063,55571741,بلدية الدوحة,27,950,,28,24,ام غويلينة,4922901,تاجير السيارات بدون سائق
129356,نشط,27-JAN-19,26-JAN-23,167600,نشط,03-FEB-19,28-JAN-23,إميسا العالمية لتأجير السيارات,تجاري,مكتب تجاري,,,بلدية الريان,56,340,طريق سلوى,455,95,عين خالد,4922901,تاجير السيارات بدون سائق
131017,منتهية,03-MAR-19,25-FEB-21,169912,نشط,19-MAR-19,09-SEP-21,يلو كاب ليموزين,تجاري,مكتب تجاري,,,بلدية الريان,55,180,عثمان بن عفان,40,84,العزيزية,4921211,خدمة الليموزين
77649,نشط,19-NOV-15,17-NOV-21,101310,نشط,,07-FEB-22,جولدن ستيب ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,83,العزيزيه,138,84,العزيزية,4921211,خدمة الليموزين
89328,نشط,09-NOV-16,08-NOV-21,73777,نشط,,18-DEC-21,سيدني ليموزين,تجاري,مكتب تجاري,23808,+97470175059,بلدية الدوحة,61,850,مركز المؤتمرات,85,101,الدفنة,4921211,خدمة الليموزين
108220,نشط,12-DEC-17,11-DEC-21,146350,معلق,17-JAN-18,11-JAN-22,نان ستاب ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,220,الطريق الدائري الثاني,159,20,روضة الخيل,4921211,خدمة الليموزين
124136,نشط,15-OCT-18,14-OCT-21,161724,نشط,07-NOV-18,01-NOV-21,مرسين ليموزين,تجاري,مكتب تجاري,,,بلدية الريان,53,740,شارع معيذر,81,88,معيذر,4921211,خدمة الليموزين
134712,نشط,30-MAY-19,25-NOV-21,173819,نشط,03-JUL-19,24-DEC-21,العافية ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,5,130,شارع الاصمخ,31,7,فريج الاصمخ,4921211,خدمة الليموزين
103180,نشط,29-AUG-17,23-FEB-25,165415,معلق,31-DEC-18,25-DEC-21,طه خان انترناشونال,تجاري,مكتب تجاري,,,بلدية الدوحة,27,310,ام غويلينة,51,489,ام غويلينة,4922901,تاجير السيارات بدون سائق
103394,نشط,13-SEP-17,12-SEP-21,140654,نشط,26-SEP-17,20-SEP-21,ليموزين التجوال,تجاري,مكتب تجاري,,55533515,بلدية الريان,53,790,ام الدوم,60,88,معيذر,4921211,خدمة الليموزين
92576/1,نشط,10-OCT-17,24-JAN-22,141744,نشط,22-OCT-17,16-OCT-21,سكي ليموزين سيرفيسس,تجاري,مكتب تجاري,,+974,بلدية الدوحة,26,320,نجمة,11,23,نجمة,4921211,خدمة الليموزين
102328,نشط,10-AUG-17,05-FEB-22,139580,معلق,20-AUG-17,10-FEB-22,الرفيج ليموزين,تجاري,مكتب تجاري,,+97450422211,بلدية الريان,53,931,ال شافي,66,65,الريان الجديد,4921211,خدمة الليموزين
104435,نشط,04-OCT-17,03-OCT-21,154896,نشط,15-JUL-18,05-JAN-22,اسبيد ليموزين,تجاري,محل تجارى,4212,+97474469742,بلدية الريان,55,340,طريق سلوى,350,84,العزيزية,4921211,خدمة الليموزين
90213,نشط,30-NOV-16,29-NOV-21,131965,نشط,09-MAR-17,03-MAR-22,كاردف ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,26,320,Najma,11,23,نجمة,4921211,خدمة الليموزين
95377,نشط,16-AUG-17,09-SEP-21,100389,نشط,,17-DEC-21,الغامدي لخدمة الليموزين,تجاري,مكتب تجاري,80270,+97433340880,بلدية الوكرة,90,312,الوكره العام,109,635,الوكرة,4921211,خدمة الليموزين
73371,نشط,16-JUN-15,11-DEC-21,58469,معلق,,03-NOV-21,العامر لتأجير السيارات,تجاري,مكتب تجاري,12351,+97455250056,بلدية الدوحة,24,340,طريق سلوى,13,20,روضة الخيل,4922901,تاجير السيارات بدون سائق
61337/1,نشط,24-MAR-14,27-DEC-21,102451,نشط,,11-OCT-21,مون لايت لخدمات الليموزين والضيافه والخدمات,تجاري,مكتب تجاري,17753,+97433059238,بلدية الريان,56,995,السوق المركزي,191,94,بو هامور,4921211,خدمة الليموزين
133977,نشط,08-MAY-19,03-NOV-21,172762,معلق,22-MAY-19,12-NOV-21,الاصلاح لليموزين,تجاري,مكتب تجاري,,+974,بلدية الخور و الذخيرة,74,211,طريق ذخيرة,9,269,الخور,4921211,خدمة الليموزين
136304,نشط,23-JUL-19,18-JAN-22,175577,معلق,02-SEP-19,23-FEB-22,اون كال ليموزين,تجاري,مكتب تجاري,,+97466554309,بلدية الريان,53,790,ام الدوم,154,88,معيذر,4921211,خدمة الليموزين
136994,نشط,19-AUG-19,14-FEB-22,175854,نشط,10-SEP-19,04-SEP-21,كاسبر ليموزين,تجاري,مكتب تجاري,16028,+97430694031,بلدية الريان,53,740,التجاري,64,88,معيذر,4921211,خدمة الليموزين
115397,نشط,04-APR-18,03-APR-22,64527,نشط,,27-APR-22,ثاوزن ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,45,250,الطريق الدائري الرابع,115,44,المطار العتيق,4921211,خدمة الليموزين
68186,نشط,14-SEP-14,12-SEP-21,95683,نشط,,16-NOV-21,ريس موف ليموزين,تجاري,مكتب تجاري,,+97466536373,بلدية الدوحة,24,920,المنتزه,87,20,روضة الخيل,4921211,خدمة الليموزين
109509,نشط,31-DEC-17,30-DEC-21,92415,نشط,,03-NOV-21,ليموزين راشد بن مبارك,تجاري,مكتب تجاري,,,بلدية الريان,53,953,ال شافي,80,65,الريان الجديد,4921211,خدمة الليموزين
139380,نشط,30-OCT-19,29-OCT-21,178109,نشط,20-NOV-19,14-NOV-21,رويال روس ليموزين,تجاري,مكتب تجاري,,+97431305548,بلدية الدوحة,17,830,المعارف,54,14,الرفاع,4921211,خدمة الليموزين
139460,نشط,03-NOV-19,02-NOV-21,178551,معلق,04-DEC-19,28-NOV-21,شركة لافيه لخدمات الليموزين,تجاري,معرض تجاري,,+97433773000,بلدية الريان,53,790,ام الدوم,44,88,معيذر,4921211,خدمة الليموزين
64199,نشط,10-FEB-14,08-FEB-22,88022,نشط,,11-FEB-22,ليموزين القلعة,تجاري,مكتب تجاري,,,بلدية الدوحة,60,810,ام حصاه,6,805,الدفنة 60,4921211,خدمة الليموزين
81766,نشط,27-MAR-16,22-SEP-21,117104,نشط,07-APR-16,28-SEP-21,ليموزين يونت,تجاري,مكتب تجاري,,,بلدية الخور و الذخيرة,74,880,ناصر بن عبدالله المسند,98,269,الخور,4921211,خدمة الليموزين
95284,منتهية,13-MAR-17,12-MAR-21,154341,نشط,03-JUL-18,24-DEC-21,زكريت لليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,51,780,شارع الاتحاد,80,47,الغرافة,4921211,خدمة الليموزين
141584,نشط,15-JAN-20,14-JAN-22,181479,نشط,15-MAR-20,10-MAR-22,بلازا ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,52,640,الشقب,25,63,الشقب,4921211,خدمة الليموزين
142561,نشط,02-MAR-20,02-MAR-22,194587,نشط,05-MAY-21,30-APR-22,بك مي ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,24,840,الروابي,14,20,روضة الخيل,4921211,خدمة الليموزين
144828,نشط,13-AUG-20,13-AUG-21,186248,معلق,01-OCT-20,26-SEP-21,ليموزين العقيق,تجاري,مكتب تجاري,,,بلدية الريان,53,790,ام الدوم,216,88,معيذر,4921211,خدمة الليموزين
150707,نشط,18-JAN-21,18-JAN-22,191932,معلق,23-FEB-21,18-FEB-22,أونو ديليفري,تجاري,مكتب تجاري,,,بلدية الدوحة,47,902,الشوفان,47,795,الثمامة 47,6201002,خدمات النقل البري عن طريق التطبيقات الالكترونية
95822/1,نشط,10-FEB-21,21-MAR-22,195185,نشط,31-MAY-21,26-MAY-22,اوشن لتأجير السيارات,تجاري,مكتب تجاري,82140,+97455155159,بلدية الوكرة,91,294,الوكرة العام,30,767,ام بشر,4922901,تاجير السيارات بدون سائق
146721,نشط,01-OCT-20,01-OCT-21,188847,معلق,01-DEC-20,26-NOV-21,ديفانو لليموزين,تجاري,مكتب تجاري,4971,74743400,بلدية الريان,80,90,البصير,402,451,الشيحانية,4921211,خدمة الليموزين
147612,نشط,25-OCT-20,25-OCT-21,187503,معلق,29-OCT-20,24-OCT-21,سنه سعيده ليموزين,تجاري,مكتب تجاري,753,+97455555033,بلدية الدوحة,26,320,نجمة,11,23,نجمة,4921211,خدمة الليموزين
151598,نشط,18-FEB-21,18-FEB-22,193057,نشط,23-MAR-21,18-MAR-22,كيو ون لتأجير السيارات,تجاري,مكتب تجاري,,,بلدية الريان,55,485,التعاون,14,86,فريج المرة,4922901,تاجير السيارات بدون سائق
152684,نشط,29-MAR-21,29-MAR-22,193923,نشط,13-APR-21,08-APR-22,ثري سيكيستي فايف ليموزين سيرفيسيس,تجاري,مكتب تجاري,,,بلدية الدوحة,24,950,ابن سينا,129,20,روضة الخيل,4921211,خدمة الليموزين
151989,نشط,07-MAR-21,07-MAR-22,193558,معلق,05-APR-21,31-MAR-22,المياسة لتأجير السيارات,تجاري,مكتب تجاري,,,بلدية الريان,56,995,السوق المركزي,150,98,مسيمير,4922901,تاجير السيارات بدون سائق
108775,نشط,24-DEC-17,23-DEC-21,145708,نشط,07-JAN-18,01-JAN-22,ليموزين المنزل,تجاري,مكتب تجاري,90163,+974,بلدية الريان,53,447,ال شافي,3,65,الريان الجديد,4921211,خدمة الليموزين
109368,نشط,28-DEC-17,27-DEC-21,153411,نشط,31-MAY-18,21-NOV-21,انتر سيتي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الوكرة,90,720,عبدالرحمن بن جاسم,48,635,الوكرة,4921211,خدمة الليموزين
132738,نشط,09-APR-19,08-APR-22,102016,نشط,,13-SEP-21,سي بورن ليموزين,تجاري,مكتب تجاري,60581,+97433049280,بلدية الخور و الذخيرة,74,880,ناصر بن عبدالله المسند,88,269,الخور,4921211,خدمة الليموزين
95244,نشط,13-MAR-17,12-MAR-22,106470,نشط,,17-MAR-22,كوالتي الدوحه لتاجير السيارات,تجاري,مكتب تجاري,,,بلدية الوكرة,91,294,بلديه الوكره/ الوكره,30,814,الركب 91,4921211,خدمة الليموزين
97839,نشط,27-APR-17,23-OCT-21,135694,نشط,08-MAY-17,29-OCT-21,ليموزين قود لك,تجاري,مكتب تجاري,,+97466660811,بلدية الدوحة,38,343,السد,26,38,السد,4921211,خدمة الليموزين
100461,منتهية,20-JUN-17,20-JUN-19,138547,معلق,24-JUL-17,19-JUL-19,اكسبرس تريب ليموزين,تجاري,مكتب تجاري,,55378785,بلدية الدوحة,38,231,سحيم بن حمد,83,38,السد,4921211,خدمة الليموزين
37286,نشط,07-NOV-07,05-NOV-21,119100,معلق,25-MAY-16,15-NOV-21,الجنوب لموزين,تجاري,مكتب تجاري,,+974,بلدية الوكرة,90,720,عبدالرحمن بن جاسم,53,635,الوكرة,4921211,خدمة الليموزين
55204/1,نشط,01-APR-14,07-APR-22,99119,نشط,,25-APR-22,بلادي لليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,23,221,الخليج,7,1000,لا يوجد,4921211,خدمة الليموزين
41360,نشط,11-JAN-09,09-JAN-22,68030,نشط,,16-OCT-21,انوفاتيف بزنس سوليوشن,تجاري,مكتب تجاري,,,بلدية الدوحة,38,893,السد,44,38,السد,4922901,تاجير السيارات بدون سائق
60767/1,نشط,22-JAN-14,20-NOV-23,97065,نشط,,25-JAN-22,امريو لحلول النقليات,تجاري,مكتب تجاري,,,بلدية الريان,56,340,طريق سلوى,299,98,مسيمير,4921211,خدمة الليموزين
126281,نشط,26-NOV-18,25-NOV-21,166463,نشط,16-JAN-19,10-JAN-22,طريقة سلسة ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,185,العزيزية,97,84,العزيزية,4921211,خدمة الليموزين
124557,منتهية,23-OCT-18,22-OCT-20,163755,معلق,04-DEC-18,28-NOV-20,باست واي ليموزين,تجاري,مكتب تجاري,5650,+974,بلدية الريان,53,740,التجاري,121,65,الريان الجديد,4921211,خدمة الليموزين
125408,نشط,08-NOV-18,07-NOV-21,169309,نشط,07-MAR-19,01-MAR-22,موبيليتي لتأجير السيارات,تجاري,مكتب تجاري,22504,+97455251187,بلدية الريان,53,652,الرويضات,16,88,معيذر,4922901,تاجير السيارات بدون سائق
36639/1,نشط,02-OCT-18,01-FEB-22,160861,نشط,28-OCT-18,22-OCT-21,شركة جو لتأجير السيارات,تجاري,محل تجارى,legal@budgetqatar.co,+97455609383,بلدية الدوحة,49,,400,5,46,مطار الدوحة الدولي,4922901,تاجير السيارات بدون سائق
119282,نشط,03-JUL-18,29-DEC-21,155707,نشط,29-JUL-18,19-JAN-22,ليموزين رود ماستر,تجاري,مكتب تجاري,30603,+974,بلدية الدوحة,26,940,نجمه,20,23,نجمة,4921211,خدمة الليموزين
97407,نشط,19-APR-17,15-OCT-21,135949,معلق,11-MAY-17,01-NOV-21,كول ليموزين,تجاري,مكتب تجاري,18121,55565529,بلدية الريان,53,,ال شافي,46,88,معيذر,4921211,خدمة الليموزين
93717,منتهية,16-FEB-17,16-FEB-19,131652,معلق,05-MAR-17,28-FEB-19,خمسه اثنين خمسه ليموزين,تجاري,محل تجارى,,,بلدية الريان,55,185,العزيزيه,99,84,العزيزية,4921211,خدمة الليموزين
93439,نشط,12-FEB-17,11-FEB-22,173869,معلق,04-JUL-19,28-JUN-22,ليموزين الخود,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,830,حطين,16,20,روضة الخيل,4921211,خدمة الليموزين
111243,نشط,21-JAN-18,20-JAN-22,167953,معلق,07-FEB-19,01-FEB-22,نيو سبيد ليموزين,تجاري,مكتب تجاري,,55349406,بلدية الريان,53,790,ام الدوم,23,88,معيذر,4921211,خدمة الليموزين
132843,نشط,10-APR-19,06-OCT-21,171876,نشط,30-APR-19,21-OCT-21,حبيب ليموزين,تجاري,مكتب تجاري,,+97430772708,بلدية الدوحة,16,960,طريق بن زياد,26,8,الغانم العتيق,4921211,خدمة الليموزين
100545,نشط,22-JUN-17,18-DEC-21,14299,معلق,,20-SEP-21,المجموعه الاوربيه لتأجير السيارات,تجاري,مكتب تجاري,,+974,بلدية الدوحة,35,920,ينبع,2,33,فريج كليب,4922901,تاجير السيارات بدون سائق
114193,نشط,12-MAR-18,07-SEP-21,165270,نشط,29-DEC-18,23-DEC-21,فارست رود ليموزين,تجاري,مكتب تجاري,ali.alabdulla1958@gm,+97455507497,بلدية الريان,53,795,ام الدوم,51,88,معيذر,4921211,خدمة الليموزين
101535,نشط,25-JUL-17,20-JAN-22,140259,نشط,14-SEP-17,08-SEP-21,الاخضر ليموزين,تجاري,مكتب تجاري,93598,+97455635706,بلدية الريان,53,959,القطارة,34,65,الريان الجديد,4921211,خدمة الليموزين
103439,نشط,13-SEP-17,12-SEP-21,140837,نشط,01-OCT-17,25-SEP-21,رد كار لتأجير السيارات,تجاري,مكتب تجاري,,55007002,بلدية ام صلال,71,726,محمد بن جاسم,11,128,ام صلال محمد,4922901,تاجير السيارات بدون سائق
83268,نشط,08-MAY-16,03-NOV-21,121826,معلق,04-AUG-16,25-JAN-22,الرفيج للخدمات وتاجير السيارات,تجاري,مكتب تجاري,,+97450422211,بلدية الريان,53,931,ال شافي,66,65,الريان الجديد,4922901,تاجير السيارات بدون سائق
100719,نشط,06-JUL-17,01-JAN-22,138954,نشط,03-AUG-17,24-JAN-22,الوجبه ليموزين,تجاري,مكتب تجاري,,+97455737373,بلدية الدوحة,27,310,ام غويلينة,43,24,ام غويلينة,4921211,خدمة الليموزين
105403,منتهية,24-OCT-17,24-OCT-19,145981,معلق,11-JAN-18,06-JAN-20,سن ريزن لليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,185,التجاري,97,84,العزيزية,4921211,خدمة الليموزين
124035,نشط,14-OCT-18,13-OCT-21,160292,معلق,18-OCT-18,12-OCT-21,وانت رود ليموزين,تجاري,مكتب تجاري,,+974,بلدية ام صلال,71,600,ام صلال محمد,51,128,ام صلال محمد,4921211,خدمة الليموزين
129763,نشط,04-FEB-19,02-FEB-25,167973,نشط,10-FEB-19,03-FEB-25,ليموزين الحجاز,تجاري,مكتب تجاري,,,بلدية الريان,53,740,التجاري,81,88,معيذر,4921211,خدمة الليموزين
127375/1,نشط,11-FEB-19,16-DEC-21,168664,نشط,24-FEB-19,18-FEB-22,وايت روس ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,840,التجارى,14,20,روضة الخيل,4921211,خدمة الليموزين
127475,نشط,20-DEC-18,19-DEC-21,167975,نشط,10-FEB-19,04-FEB-22,القائم لخدمة الليموزين,تجاري,مكتب تجاري,,+97466799844,بلدية الدوحة,16,960,طارق بن زياد,13,8,الغانم العتيق,4921211,خدمة الليموزين
